Date,Date Value,Open,High,Low,Close,Adj Close,Volume
6/8/18,43259,191.169998,192,189.770004,191.699997,191.699997,26656800
6/11/18,43262,191.350006,191.970001,190.210007,191.229996,191.229996,18308500
6/12/18,43263,191.389999,192.610001,191.149994,192.279999,192.279999,16911100
6/13/18,43264,192.419998,192.880005,190.440002,190.699997,190.699997,21638400
6/14/18,43265,191.550003,191.570007,190.220001,190.800003,190.800003,21610100
6/15/18,43266,190.029999,190.160004,188.259995,188.839996,188.839996,61719200
6/18/18,43269,187.880005,189.220001,187.199997,188.740005,188.740005,18484900
6/19/18,43270,185.139999,186.330002,183.449997,185.690002,185.690002,33578500
6/20/18,43271,186.350006,187.199997,185.729996,186.5,186.5,20628700
6/21/18,43272,187.25,188.350006,184.940002,185.460007,185.460007,25711900
6/22/18,43273,186.119995,186.149994,184.699997,184.919998,184.919998,27104300
